AQW00061705          14C    15C    11C    13C    12C    10C    12C     9C    10C     9C    11C    14C
CQC00914080           9R    17R    28P    11R    11R     7R     8R     8R     6R     8R     7R    15R
CQC00914801           8R    13R    17R    10R     6R    10R     8R     8R    13R     8R     7R     9R
FMC00914395          21P    21P    22P    28P    26P    25P    29P    26P    28P    22P    19P    23P
FMC00914419          11P    11P     8P     8P     9P     8P    10P    11P     8P     8P     9P    10P
FMC00914446          16P    14P    22P    17P    20P    16P     9P    10P    11P    13P    13P    16P
FMC00914482          20P    24P    21P    19P    22P    39P    35P    35P    21P    18P    26P    19P
FMC00914720          26P    26P    28P    31P    30P    29P    28P    26P    27P    26P    29P    26P
FMC00914761           8P    11P     9P     9P    13P     9P    10P    10P     9P    11P    10P     9P
FMC00914831           6P     6P     8P    10P    11P    13P    10P    11P     9P     7P    10P     7P
FMC00914892          11P    14P    11P     6P    10P    14P    12P    21P    15P     9P    13P     9P
FMC00914898          24P    19P    20P    19P    14P    15P    22P    15P    22P    21P    20P    19P
FMC00914911          15P    15P    15P    15P    13P    14P    18P    21P    19P    19P    21P    13P
FMW00040308          14S    16S    16S    14S    14S    16S    16S    19S    18S    18S    14S    11S
FMW00040504          12C    11C    12S    11S    10S    12S    10S    14S    16S    13S    15S    11S
FMW00040505          11S    12S    12S    10S     8S     8S     8S    12P     8P    10P     8S    12S
GQC00914025          12P    15P    12P    12P    10P     9P    11P    11P    10P     9P     6P     8P
GQW00041415          14C    13C    16C    12C    15C    13C    10C    12C    10S     9S    13C    14C
JQW00021603          13P    12P    14P    14P    16P    18P    16P    17P    15P    14P    11P     9P
PSC00914519          18P    21P    28P    27P    25P    13P    21P    26P    24P    19P    15P    16P
PSC00914712           7P     9P    11P    11P     7P     9P     9P     7P    10P     6P     9P     6P
PSW00040309          10S    11S    10S    10S     8S    10S    12S    15S    13S    12S    10S    10S
RMW00040604           8C     9S    10S     7S     8S     8S     8S     7S     7S     7C     7C     7S
RMW00040710           9S    10C     8C     8C     8C     7C     8S     9S     8S     9S     9S    10S
RQC00660061          27R    16S    21S    23R    16R    14R    15S    16S    20R    23S    21S    25R
RQC00660152          21S    24S    25S    22S    18S    16S    16S    13S    16R    17S    18S    22S
RQC00660158          22R    22R    15R    18R    21R    17R    18R    10R    12R    11R    16R    15R
RQC00660410          16R    21R    23R    13R    27R    13R    13R    17R    18R    15R    18R    21R
RQC00660426          32S    25S    27C    25S    24S    16S    19S    19S    17S    25S    25S    30S
RQC00661901          21R    18R    19R    17R    21R    11R    12R    10R    10R    17R    17R    19R
RQC00662336          21R    16R    15R    14R    14R    19R    26S    21S    26R    22R    25R    25R
RQC00662801          25S    21S    23S    20S    29S    23S    25S    21S    19S    22S    22S    24S
RQC00662934          15R    15R    18R    18R    20S    15R    12R    11S     9S    12R    13S    19R
RQC00663409          32R    39P    46R    21R    23R    28R    18R    26R    35R    43R    28R    32R
RQC00663431          20S    15S    21S    24S    22S    14S    12S    16S    14S    17S    20S    25S
RQC00663657          15R    19R    18R    18R    16R    21R    12R    11R    20R    14R    14R    25R
RQC00664193          11R    11R    10R     9S    13R    12R     7R     9R    14R    12S    10R    12R
RQC00664276          16S    17S    21S    18S    21S    15S    15S    11S    15S    18S    18S    23S
RQC00664702          20S    18S    19S    23S    17S    15S    15S    16S    14S    18C    17S    23S
RQC00665064          15S    14S    16S    18S    15S     9S    12S    10S    10R    14S    16S    23S
RQC00665097          12R    16S    17S    16S    21S    15S    12S    11S    13S    21S    21S    27R
RQC00665693          17R    16R    24R    19R    14R    15R    21R    11R    20R    15R    10R    17R
RQC00665807          15S    18R    19R    15R    18S    17S    12S    17S    14R    19S    21S    19R
RQC00665908          24R    17R    28R    22R    21R    27R    30R    24R    25R    17R    18R    23R
RQC00666073          33R    31S    30S    25S    22R    14R    19R    23R    23R    22S    30S    28R
RQC00666258          28R    35S    29S    20R    25S    20R    27S    22S    27R    31R    26R    31R
