AQW00061705          15C    15C    14C    14C    12C    13C    13C    13C    13C    13C    15C    14C
CQC00914080           6R    11R    16P     8R     5R     7R     6R     6R     7R     5R     4R     8R
CQC00914801           5R    11R    10R     5R     4R     6R     4R     5R     9R     5R     5R     6R
FMC00914395           9P    12P    13P    12P    12P    12P    11P    13P    11P     8P    10P     9P
FMC00914419           5P     5P     5P     7P     5P     5P     3P     5P     4P     6P     7P     6P
FMC00914446           6P     5P     7P     7P    12P     9P     9P     7P     8P     7P     7P     7P
FMC00914482          10P    11P    12P     9P    11P    19P    16P    22P    10P     9P    12P    12P
FMC00914720          16P    19P    16P    15P    14P    17P    16P    17P    16P    17P    16P    17P
FMC00914761           4P     5P     4P     6P     7P     6P     5P     7P     6P     6P     3P     4P
FMC00914831           9P     9P     8P    10P    11P    10P     7P     6P     8P    10P     7P     7P
FMC00914892           8P    10P     9P     9P     8P     8P     8P     6P     6P     7P     7P     7P
FMC00914898          10P    10P     8P     9P     9P    10P     9P    10P     8P    10P     8P     7P
FMC00914911          10P    11P    12P    11P     9P     9P     7P     7P     8P    11P    11P     9P
FMW00040308           7S     7S     7S     7S     8S     7S     6S     8S     9S     7S     6S     7S
FMW00040504           8C     7C     9S     8S     9S     6S     6S     6S     6S     6S     8S     8S
FMW00040505           7S     9S     7S     7S     7S     7S     7S     8P     5P     6P     6S     7S
GQC00914025          10P    10P    10P    12P    13P     9P     8P     8P    11P    10P     7P    11P
GQW00041415           9C    10C     9C     8C     8C     8C     8C     5C     5S     7S     8C     8C
JQW00021603          10P    10P    10P    12P    13P    13P    11P    10P     9P    10P    10P    13P
PSC00914519           9P    10P    14P    11P    12P     7P     9P    10P     8P    10P    11P     8P
PSC00914712           5P     5P     4P     7P     6P     8P     9P     8P     7P     5P     7P     5P
PSW00040309           6S     7S     5S     5S     5S     5S     7S     6S     7S     6S     5S     6S
RMW00040604           8C     6S     7S     7S     8S     7S     7S     6S     7S     6C     8C     6S
RMW00040710           6S     6C     7C     8C     6C     5C     5S     5S     4S     5S     5S     5S
RQC00660061          12R    11S    13S    11R    11R     9R     8S     8S     7R    11S     8S    13R
RQC00660152          13S    12S    13S    11S    11S     9S     7S     8S    11R     9S    10S    14S
RQC00660158          18R    14R    15R    14R    10R    15R    17R    16R    15R    14R    18R    19R
RQC00660410           7R    15R    14R     9R    15R     9R     6R    11R    11R    12R     9R    12R
RQC00660426          11S    14S    15C    10S    11S    10S     9S     7S     7S     7S    13S    15S
RQC00661901          11R    12R    13R    11R    11R     9R     8R     7R     7R    12R     9R    12R
RQC00662336          18R    21R    20R    13R    14R    18R    21S    20S    24R    25R    22R    24R
RQC00662801          14S    12S    19S    11S    10S    10S    13S    15S    12S    11S    10S    12S
RQC00662934           9R    13R    15R     9R    11S     9R     7R     8S     8S     8R    11S    13R
RQC00663409          21R    23P    31R    16R    15R    15R    10R    15R    18R    25R    15R    16R
RQC00663431          11S    14S    14S    11S    11S     9S     8S    10S     8S    10S    10S    14S
RQC00663657           9R    13R    11R    10R    11R     9R     5R     7R     7R     5R     8R    13R
RQC00664193           8R     9R    12R     9S     6R    10R     7R     7R     9R     7S     6R     8R
RQC00664276           9S    11S    13S    11S    10S     8S     7S     7S     7S     7S     8S    12S
RQC00664702          10S    10S    11S    10S     9S     8S     9S     8S    10S     9C    10S    12S
