AQW00061705          15C    16C    15C    15C    12C    13C    14C    13C    13C    13C    17C    14C
CQC00914080           9R    19R    30P    11R     9R     8R     9R     7R     7R     8R     6R    14R
CQC00914801           8R    14R    13R     8R     6R     8R     6R     5R    14R     7R     7R     8R
FMC00914395           9P    10P     9P    10P     9P     6P     8P    11P    10P     8P     9P     8P
FMC00914419           4P     7P     5P     5P     6P     5P     6P     7P     5P     6P     6P     4P
FMC00914446           7P     8P    12P    12P    15P    12P    10P     8P    10P    11P     9P    10P
FMC00914482           9R     8R     8R     8R     8R     9R     9R    10R     9R     6R     4R     9R
FMC00914720           8R     6R     6R     5R     4R     5R     4R     5R     7R     4R     3R     5R
FMC00914761           4P     7P     6P     7P    10P     8P     8P    11P    10P     7P     7P     5P
FMC00914831          11P    10P    10P    12P    10P    14P    11P     9P    12P    12P     7P     9P
FMC00914892          10P    12P     9P     9P     5P     5P     7P    10P     9P     6P     8P     9P
FMC00914898          15P    10P    13P    11P     8P     9P    12P     9P    10P    11P    10P     9P
FMC00914911          10P    11P    11P     8P     7P    10P    10P    11P    11P    12P    10P     7P
FMW00040308           9S     7S     8S     9S    11S     7S     8S     8S     8S     8S     8S     6S
FMW00040504           7C     7C     9C     9C     9C     7C     8C    11C    11C     8C    10C     6C
FMW00040505           7S    10S     9S     8S     7S     6S     8S     9S     8S     5S     5S     8S
GQC00914025          10P    15P    12P    14P    14P    12P    11P     9P    12P    11P     8P    13P
GQW00041415          11C    12C    10C     9C    10C    12C     9C     8C     7S     8S    11C    13C
JQW00021603          15P    14P    15P    16P    18P    19P    17P    17P    16P    15P    13P    16P
PSC00914519          10P     9P    15P     8P     8P     9P    13P    11P    12P    13P    13P     8P
PSC00914712           6P     8P     7P     6P     7P     7P     8P     8P     8P     7P     9P     7P
PSW00040309           9S    11S     8S     8S     6S     9S    10S    11S    11S    10S     8S     9S
RMW00040604           8C     7S     8S     8S     9S     8S     8S     5S     6S     6C     8C     7S
RMW00040710           7C     8C     6C     8C     6C     5C     5S     6S     5S     6S     7S     7C
RQC00660061          13S    12C    13C     9S     9C     8C     8C     8C    11C    10C    13C    15S
RQC00660152          10S    11S    11S    13S    12S    11S     9S     9S     8S    12S    11S    11S
RQC00660158          19R    17R    17R    19R    14R    19R    23R    19R    18R    15R    21R    21R
RQC00660410          14R    12R    11R     9R    16R    13R    10R     9R    19R    14R    17R    20R
RQC00660426          24S    22S    24C    16C    16S    10S     9S    10S    11S    15S    21S    28S
RQC00661901          10R    12R    13R    14R    18R    11R    10R     9R    10R    14R    13R    15R
RQC00662336          20R    26R    23R    15R    19R    24R    30S    27S    33R    32R    30R    33R
RQC00662801          16S    13S    17S    13S    19S    17S    18S    15S    13S     8S    11S    15S
RQC00662934          13S    17R    21S    15R    16S    14S     9R     8S     9S     9R    14S    19R
RQC00663409          29R    41P    52R    23R    22R    27R    18R    27R    34R    46R    29R    29R
RQC00663431          15S    17S    21S    14S    15S    11S     9S    10S    10S    11S    15S    21S
RQC00663657          12R    13R    12R    11R    13R     8R     7R     8R     7R     8R    12R    20R
RQC00664193           9R    10R    13R    12S     8R     9R     6R     9S    13S     9S     9R     9R
RQC00664276          12S    12S    15S    11S    15S    12S    10S    10S    12S    12S    13S    14S
