AQW00061705          18C    18C    15C    16C    14C    15C    15C    15C    14C    14C    15C    16C
CQC00914080           6R     6R     8P     8R     4R     7R     6R     6R     7R     5R     5R     6R
CQC00914801           6R    11R    13R     6R     4R     8R     5R     8R     7R     6R     6R     7R
FMC00914395          18P    21P    23P    25P    23P    23P    24P    23P    24P    17P    18P    19P
FMC00914419          10P     8P     8P    10P     8P     8P     6P     8P     6P     7P    10P    10P
FMC00914446          10R     9R    11R     7R    17R    10R     9R     9R    11R    10R    11R     9R
FMC00914482          17P    21P    20P    15P    19P    37P    31P    38P    17P    16P    24P    19P
FMC00914720          28P    31P    29P    30P    29P    31P    30P    30P    29P    30P    30P    30P
FMC00914761           7P     7P     6P     8P     8P     7P     6P     6P     4P     9P     5P     7P
FMC00914831           7R     7R     4R     6R    11R    17R     5R     6R     4R     6R     8R     5R
FMC00914892           7R     8R     7R     7R     7R    11R     9R    10R    10R     9R    10R     6R
FMC00914898          16P    17P    13P    14P    14P    15P    16P    15P    17P    18P    15P    14P
FMC00914911          15P    15P    16P    17P    14P    12P    13P    14P    13P    17P    18P    14P
FMW00040308          12C    13C    13C    10C    11C    13C    12C    16C    16C    14C    10C    10C
FMW00040504          12C    11C    13S    10S    11S    10S     7S     8S    10S    10S    12S    12S
FMW00040505          11S    11S    10S    10S    10S     9S     9S    10S     6P     9S     9S    10S
GQC00914025          12P     9P    11P    12P    13P     9P     8P    11P    13P    11P     7P    10P
GQW00041415          11C    12C    13C    10C    11C     9C    10C     7C     8S     9S     9C     8C
JQW00021603           9P    10P     9P    11P    11P     9P     7P     7P     6P     8P     9P    11P
PSC00914519          13R    17R    21R    19R    21R    11R    13R    16R    14R    13R    12R    12R
PSC00914712           7P     6P     6P    11P     8P    10P    11P     9P     9P     6P     7P     4P
PSW00040309           6S     6S     6S     6S     7C     6C     8C     9C     8C     6C     5C     6C
RMW00040604          10C     8C     9S     8S     8S     7S     9C     8C     9C     7C     9C     8S
RMW00040710           9S     7C    10C     9C     8C     8C     8C     7C     7S     7S     7S     8S
RQC00660061          22S    15S    20S    20R    17R    13R    13S    14S    13R    21S    13S    20R
RQC00660152          22S    22S    23S    18S    16S    13S    12S    11S    17R    13S    16S    22S
